7066,QA7442.3,PC1363,50,3.0
7066,QA7442.3,MC0738,10,3.0
7066,QA7442.3,PS2089,30,3.0
7072,D4482,MC0738,5,5.0
7072,D4482,PC1363,20,5.0
7072,D4482,PS2089,20,5.0
7072,D4482,PC3856,5,5.0
7072,D4482,MS4021,15,10.0
7072,D4482,DC1437,15,5.0
7078,N914008,BU9196,2000,10.0
7078,N914008,MC0738,5,3.0
7078,N914008,PC1363,20,5.0
7078,N914008,PS2089,30,5.0
7078,N914008,PC3856,30,5.0
7078,N914008,MS4021,20,5.0
7078,N914014,BU1349,30,5.0
7078,N914014,BU1360,30,5.0
7078,N914014,PC3100,30,5.0
7078,N914014,BU9185,30,5.0
7078,N914014,MC2836,30,5.0
7078,N914014,TD2365,10,3.0
6032,423LL922,DC1437,5,3.0
6032,423LL922,PC3100,20,5.0
6032,423LL922,MP9231,20,3.0
6032,423LL922,MC2836,20,5.0
6032,423LL922,GL1331,20,3.0
6032,423LL930,PS2089,2,3.0
6032,423LL930,PC3250,20,5.0
6032,423LL930,PC3256,20,3.0
6032,423LL930,BU1360,10,3.0
6032,423LL930,PC3679,10,3.0
6032,423LL930,TD2365,5,3.0
6032,423LL930,PC3856,5,3.0
8029,722a,PC3679,10,3.0
8029,722a,MS4021,20,3.0
8029,722a,DC1437,20,3.0
8029,722a,MP9231,10,3.0
8029,722a,BU1360,10,3.0
8029,6871,BU1349,30,5.0
8029,6871,BU9196,200,10.0
8029,6871,PC1363,30,5.0
8029,6871,MC0738,2,3.0
8029,6871,BU9235,80,10.0
8029,6871,PS2089,3,3.0
7078,P723,PC3856,8,3.0
7078,P723,BU1349,40,5.0
7078,P723,PC3100,20,3.0
7078,P723,MP9231,20,3.0
7078,P723,TD2365,10,3.0
7078,P723,MS4021,80,10.0
7298,X999,PC3679,10,3.0
7298,X999,GL1331,5,3.0
7298,X999,PC3256,10,3.0
7298,X999,PC3389,10,3.0
7298,X999,PC3100,10,3.0
7298,X999,PC3856,10,3.0
7298,X999,DC1437,10,3.0
7298,QQ2299,DC1437,30,5.0
7298,QQ2299,GL1331,10,3.0
7298,QQ2299,PC3100,30,5.0
7298,QQ2299,BU1349,30,5.0
7298,QQ2299,BU1360,30,5.0
7298,QQ2299,PC3679,10,3.0
7298,QQ2299,MP9231,5,3.0
7298,TQ456,PS2089,2,3.0
7298,TQ456,MC2836,20,5.0
7298,TQ456,BU9285,40,3.0
7298,TQ456,PC1363,1,3.0
7298,TQ456,MC0738,2,3.0
7298,TQ456,PC3256,5,3.0
7078,QA879.1,BU1349,20,5.0
7078,QA879.1,MP9231,20,5.0
7078,QA879.1,PC3100,20,5.0
7078,QA879.1,PC3856,5,3.0
7078,QA879.1,PC3389,20,5.0
7078,QA879.1,PC3256,10,3.0
7066,A2976,TD2365,5,3.0
7066,A2976,BU1349,5,3.0
7066,A2976,BU9196,100,10.0
7066,A2976,BU9185,5,3.0
7066,A2976,MC2836,30,5.0
7066,A2976,DC1437,5,3.0
7896,P3087a.1,BU1360,5,3.0
7896,P3087a.2,MP9231,3,3.0
7896,P3087a.2,GL1331,5,3.0
7896,P3087a.2,PS2089,3,3.0
7896,P3087a.3,TD2365,5,3.0
7896,P3087a.3,PC3856,5,3.0
7896,P3087a.3,PC3100,10,3.0
7896,P3087a.4,MS4021,7,3.0
7072,P2121.1,PC3250,5,3.0
7072,P2121.1,BU1349,5,3.0
7072,P2121.1,PC3679,5,3.0
7072,P2121.2,PC3389,3,3.0
7072,P2121.3,BU9185,3,3.0
6032,423LL942.1,PS2089,2,3.0
6032,423LL942.1,PS3256,10,3.0
6032,423LL942.2,BU9196,50,7.0
6032,423LL942.3,PC3100,20,5.0
6032,423LL942.4,PC3856,10,3.0
6032,423LL942.4,DC1437,10,3.0
6032,423LL942.4,PC3679,10,3.0
7078,QB567.1,BU1349,5,3.0
7078,QB567.1,MC0738,1,3.0
7078,QB567.2,BU9185,2,3.0
7078,QB567.2,PC1363,1,3.0
7078,QB567.2,PS2089,2,3.0
8029,8765,BU9196,30,7.0
8029,8765,MP9231,10,3.0
8029,8765,PC3100,20,7.0
8029,8765,PC3256,30,7.0
8029,8765,BU1360,5,3.0
6032,423LL945.1,MC0738,2,3.0
6032,423LL945.1,PS2089,2,3.0
6032,423LL945.1,MS2365,2,3.0
6032,423LL945.2,BU9196,30,7.0
